Timestamp,Warning_Type,EAR,MAR,Pitch_Delta
2026-06-17 20:12:05,yawn,0.263,0.892,-7.793
2026-06-17 20:12:06,yawn,0.262,1.019,-5.586
2026-06-17 20:12:07,yawn,0.246,0.728,-4.116
2026-06-17 20:12:08,yawn,0.277,0.009,-4.417
2026-06-17 20:12:15,eyes,0.175,0.0,7.681
2026-06-17 20:12:16,eyes,0.178,0.0,6.193
2026-06-17 20:12:17,eyes,0.271,0.0,1.489
2026-06-17 20:12:23,nod,0.143,0.008,-321.733
2026-06-17 20:12:24,nod,0.185,0.008,-313.812
2026-06-17 20:12:25,nod,0.194,0.09,6.425
2026-06-17 20:12:28,nod,0.206,0.143,-125.251
